municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,3,3
SANTA ANA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,7,7
SIPE SIPE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,4,4
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,8,8
TUPIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,9,9
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,2,2
VILLA MONTES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,3,3
WARNES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-10-01,1,1
ACHOCALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-11-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-11-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-11-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-11-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-11-01,22,22
