,group,variable,month,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
QUIABAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,20,28,20,29,49
QUILLACOLLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,525,430,858,762,1383,1192,2575
QUIME,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,11,56,68,62,79,141
QUIRUSILLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,2,14,14,14,16,30
RAVELO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,18,19,188,197,206,216,422
REYES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,1,75,68,76,69,145
RIBERALTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,142,149,494,521,636,670,1306
ROBORE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,1,59,45,62,46,108
RURRENABAQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,7,60,49,60,56,116
SABAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,3,18,16,19,19,38
SACABA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,82,74,545,551,627,625,1252
SACABAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,6,23,11,25,17,42
SACACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,13,123,116,134,129,263
SAIPINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,0,31,42,32,42,74
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,14,6,108,112,122,118,240
SAMAIPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,6,50,43,56,49,105
SAN AGUSTIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,3,12,8,18,11,29
SAN ANDRES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,11,44,51,55,62,117
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,1,11,22,14,23,37
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,3,5,3,6,9
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,24,22,122,134,146,156,302
SAN BENITO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,8,71,71,76,79,155
SAN BORJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,0,322,251,324,251,575
SAN BUENA VENTURA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,5,68,58,72,63,135
SAN CARLOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,21,15,94,113,115,128,243
SAN IGNACIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,39,56,243,239,282,295,577
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,68,76,351,324,419,400,819
SAN JAVIER(BNI),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,19,18,8,12,27,30,57
SAN JAVIER(STC),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,28,38,47,59,75,97,172
SAN JOAQUIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,5,33,32,33,37,70
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,41,41,24,18,65,59,124
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,4,40,38,44,42,86
SAN JULIAN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,24,21,281,271,305,292,597
SAN LORENZO(PND),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,5,16,19,20,24,44
SAN LORENZO(TJA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,21,22,175,158,196,180,376
SAN LUCAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,28,44,554,597,582,641,1223
SAN MATIAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,25,71,55,84,80,164
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,4,69,76,75,80,155
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,5,8,5,8,13
SAN PEDRO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,9,14,129,107,138,121,259
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,10,13,139,124,149,137,286
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,0,23,33,26,33,59
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,1,8,11,10,12,22
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,1,29,25,33,26,59
SAN PEDRO(PND),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,1,24,8,25,9,34
SAN RAFAEL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,1,46,41,59,42,101
SAN RAMON BENI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,3,29,28,29,31,60
SAN RAMON SCZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,36,27,36,26,72,53,125
SANTA ANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,95,99,10,15,105,114,219
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1573,1463,2077,2018,3650,3481,7131
SANTA ROSA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,41,46,41,46,87
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,16,15,64,65,80,80,160
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,1,12,14,13,15,28
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,8,88,47,93,55,148
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,1,17,24,23,25,48
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,1,13,23,14,24,38
SANTIVAÑES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,1,48,59,50,60,110
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,2,27,25,33,27,60
SAPAHAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,4,51,59,55,63,118
SENA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,12,6,14,11,26,17,43
SHINAOTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,20,18,238,219,258,237,495
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,10,14,114,116,124,130,254
SICAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,1,15,18,18,19,37
SIPE SIPE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,36,48,256,224,292,272,564
SOPACHUY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,8,94,100,99,108,207
SORACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,7,121,113,124,120,244
SORATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,6,150,139,153,145,298
SUCRE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,355,278,1399,1439,1754,1717,3471
TACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,6,3,4,10,10,20
TACACOMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,6,29,26,34,32,66
TACOBAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,4,37,34,43,38,81
TACOPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,3,38,55,45,58,103
TAHUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,9,8,9,8,17
TAPACARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,15,19,217,212,232,231,463
TARABUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,21,15,190,180,211,195,406
TARACO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,3,26,19,26,22,48
TARATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,3,60,73,61,76,137
TARIJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,332,403,750,748,1082,1151,2233
TARVITA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,7,214,219,219,226,445
TEOPONTE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,9,82,66,88,75,163
TIAWANACU,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,2,61,56,68,58,126
TINGUIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,15,16,82,69,97,85,182
TIPUANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,9,6,71,73,80,79,159
TIQUIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,49,51,379,392,428,443,871
TIRAQUE (CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,19,16,88,80,107,96,203
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,1,4,1,4,5
TOCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,2,34,32,37,34,71
TODOS SANTOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,0,0,0,1,1
TOLATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,15,13,30,31,45,44,89
TOLEDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,2,32,24,34,26,60
TOMAVE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,5,41,45,47,50,97
TOMINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,10,5,172,182,182,187,369
TORO TORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,4,113,104,116,108,224
TOTORA(CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,19,17,49,53,68,70,138
TOTORA(ORR),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,4,33,43,39,47,86
TRIGAL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,0,7,13,9,13,22
TRINIDAD,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,132,130,368,321,500,451,951
TUPIZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,46,32,224,226,270,258,528
TURCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,5,43,37,47,42,89
UMALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,4,43,70,44,74,118
UNCIA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,22,11,74,63,96,74,170
URIONDO (A. CONCEPCION),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,46,45,72,89,118,134,252
URUBICHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,2,49,32,54,34,88
UYUNI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,8,62,60,69,68,137
VACAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,8,61,48,64,56,120
VALLEGRANDE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,22,9,84,78,106,87,193
VIACHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,60,49,272,255,332,304,636
VILA VILA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,3,34,49,36,52,88
VILLA CHARCAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,20,18,185,156,205,174,379
VILLA MONTES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,12,14,241,244,253,258,511
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,3,49,45,51,48,99
VILLA RIVERO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,14,15,34,40,48,55,103
VILLA SERRANO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,48,39,147,151,195,190,385
VILLA TUNARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,128,119,668,589,796,708,1504
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,15,12,101,86,116,98,214
VILLAZON,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,16,21,236,206,252,227,479
VINTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,63,49,143,102,206,151,357
VITICHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,6,86,79,88,85,173
WALDO BALLIVIAN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,1,12,24,13,25,38
WARNES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,65,51,321,325,386,376,762
YACO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,19,13,28,32,47,45,92
YACUIBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,215,208,364,309,579,517,1096
YAMPARAEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,5,104,112,104,117,221
YANACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,2,47,54,48,56,104
YAPACANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,52,37,231,211,283,248,531
YOCALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,9,53,45,60,54,114
YOTALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,3,98,96,102,99,201
YUNCHARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,10,8,97,93,107,101,208
YUNGUYO DE LITORAL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,0,0,0,2,0,2
ZUDAÑEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,8,6,110,122,118,128,246
ACACIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,2,2,69,82,71,84,155
ACHACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,23,24,125,126,148,150,298
ACHOCALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,12,8,63,68,75,76,151
AIQUILE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,15,28,130,166,145,194,339
ALALAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,8,1,9,7,17,8,25
ALCALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,4,1,52,56,56,57,113
ALTO BENI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,26,22,47,47,73,69,142
ANCORAIMES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,6,5,83,103,89,108,197
ANDAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,1,3,57,51,58,54,112
ANTEQUERA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,0,1,15,9,15,10,25
ANZALDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,9,10,66,70,75,80,155
APOLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,5,8,91,87,96,95,191
ARAMPAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,8,9,57,41,65,50,115
ARANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,2,6,75,61,77,67,144
ARBIETO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,13,18,145,145,158,163,321
