municipality,group,variable,month,Total 11.7 Mujeres con primer control post parto,TOTAL
ORURO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,643,643
PADCAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,19,19
PADILLA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,6,6
PAILON,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,27,27
PALCA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,12,12
PALOS BLANCOS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,19,19
PAMPA AULLAGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,3,3
PAMPA GRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,11,11
PAPEL PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,6,6
PASORAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,2,2
PATACAMAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,31,31
PAZÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,8,8
PELECHUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
POCONA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,18,18
POJO (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,19,19
POOPO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,2,2
PORCO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,10,10
POROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,17,17
PORONGO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,5,5
PORTACHUELO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,41,41
POTOSI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,185,185
PRESTO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,12,12
PUCARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,32,32
PUERTO ACOSTA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,14,14
PUERTO CARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,18,18
PUERTO GONZALO MORENO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,13,13
PUERTO PEREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,9,9
PUERTO QUIJARRO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,27,27
PUERTO RICO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,14,14
PUERTO SUAREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,38,38
PUERTO VILLARROEL,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,73,73
PUNA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,19,19
PUNATA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,20,20
QUIABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,4,4
QUILLACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,86,86
QUIME,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,5,5
QUIRUSILLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,1,1
REYES,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,21,21
RIBERALTA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,239,239
ROBORE,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,27,27
RURRENABAQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,11,11
SABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,2,2
SACABA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,154,154
SACABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,5,5
SACACA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,23,23
SAIPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,10,10
SAMAIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,14,14
SAN ANDRES,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,5,5
SAN ANDRES DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,3,3
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
SAN BENITO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,4,4
SAN BORJA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,22,22
SAN BUENA VENTURA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,12,12
SAN CARLOS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,27,27
SAN IGNACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,27,27
SAN IGNACIO DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,130,130
SAN JAVIER(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,19,19
SAN JOAQUIN,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,34,34
SAN JULIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,37,37
SAN LORENZO(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,10,10
SAN LUCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,45,45
SAN MATIAS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
SAN MIGUEL DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,24,24
SAN PEDRO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,10,10
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,9,9
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,5,5
SAN PEDRO(PND),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,3,3
SAN RAFAEL,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,6,6
SAN RAMON BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
SAN RAMON SCZ,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,14,14
SANTA ANA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,23,23
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,834,834
SANTA ROSA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,6,6
SANTA ROSA DEL SARA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,13,13
SANTIAGO DE CALLAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,2,2
SANTIAGO DE HUARI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,9,9
SANTIAGO DE HUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,5,5
SANTIAGO DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,3,3
SANTIVAÑES,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,8,8
SANTUARIO DE QUILLACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,9,9
SAPAHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,6,6
SENA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,9,9
SHINAOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,29,29
SICA SICA (VILLA AROMA),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,33,33
SICAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,1,1
SIPE SIPE,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,23,23
SOPACHUY,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,9,9
SORACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
SORATA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,19,19
SUCRE,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,306,306
TACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,2,2
TACACOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,6,6
TACOBAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,9,9
TACOPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
TAPACARI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,34,34
TARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,25,25
TARACO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,6,6
TARATA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,2,2
TARIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,180,180
TARVITA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,13,13
TEOPONTE,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,18,18
TIAWANACU,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,22,22
TIPUANI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,11,11
TIQUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,130,130
TIRAQUE (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,17,17
TOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,4,4
TOLATA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,11,11
TOLEDO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,13,13
TOMAVE,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,14,14
TOMINA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,8,8
TORO TORO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,4,4
TOTORA(CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,8,8
TOTORA(ORR),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,5,5
TRIGAL,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,1,1
TRINIDAD,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,128,128
TUPIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,55,55
TURCO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,4,4
UMALA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,11,11
UNCIA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,8,8
URIONDO (A. CONCEPCION),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,19,19
URUBICHA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,2,2
UYUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,19,19
VACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,11,11
VALLEGRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,22,22
VIACHA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,54,54
VILA VILA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
VILLA CHARCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,32,32
VILLA MONTES,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,33,33
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,1,1
VILLA RIVERO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,12,12
VILLA SERRANO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,19,19
VILLA TUNARI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,124,124
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,13,13
VILLAZON,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,52,52
VINTO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,53,53
VITICHI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,8,8
WALDO BALLIVIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,3,3
WARNES,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,41,41
YACO,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,12,12
YACUIBA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,78,78
YAMPARAEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
YANACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,3,3
YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,77,77
YOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,6,6
YOTALA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,10,10
YUNCHARA,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,5,5
ZUDAÑEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-09-01,7,7
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,28,28
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,7,7
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,21,21
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,10,10
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,12,12
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,29,29
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,11,11
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,16,16
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,9,9
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,10,10
CALACOTO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
CALAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
CAMARGO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,34,34
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
CAPINOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,15,15
CARACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,19,19
CARANAVI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,10,10
CARAPARI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
CARIPUYO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
CHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
CHARAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,23,23
CHIMORE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
CHIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,19,19
CHUMA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,7,7
CKOCHAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
COBIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,23,23
COCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
COCHABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,192,192
COIPASA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
COLCAPIRHUA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,34,34
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,17,17
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,11,11
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,10,10
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,36,36
CORIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,110,110
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
CUEVO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
CULPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,20,20
CURAHUARA DE CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
DESAGUADERO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
EL ALTO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,589,589
EL CHORO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
EL PUENTE(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,7,7
EL TORNO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,89,89
EL VILLAR,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,28,28
ENTRE RIOS CBBA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,22,22
EUCALIPTUS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
FERNANDEZ ALONSO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
FILADELFIA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
GUAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
GUAYARAMERIN,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
GUTIERREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
HUACARETA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
HUANUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,40,40
HUARACAJE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
HUARINA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
ICLA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
INCAHUASI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
INQUISIVI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,10,10
IXIAMAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
JESUS DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,11,11
LA ASUNTA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,48,48
LA GUARDIA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,59,59
LA PAZ,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,756,756
LAGUNILLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
LAJA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
LAS CARRERAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
LICOMA PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
LLALLAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
LLICA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
LURIBAY,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
MACHARETI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
MAGDALENA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
MAIRANA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,26,26
MAPIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
MINEROS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,19,19
MIZQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,18,18
MOCOMOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
MOJINETE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
MOJOCOYA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
MONTEAGUDO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,7,7
MONTERO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
MORO MORO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
MOROCHATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
OCURI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,10,10
OMEREQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
ORURO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,87,87
PADCAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,10,10
PADILLA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,27,27
PALCA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
PALOS BLANCOS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,25,25
PAMPA AULLAGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
PAMPA GRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,14,14
PAPEL PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
PASORAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
PATACAMAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,36,36
PAZÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
POCOATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
POCONA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
POJO (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
POOPO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
PORCO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
POROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,7,7
PORONGO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
PORTACHUELO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,48,48
PORVENIR,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
POTOSI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,146,146
PRESTO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
PUCARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
PUERTO CARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
PUERTO GONZALO MORENO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
PUERTO PEREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
PUERTO QUIJARRO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,24,24
PUERTO RICO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
PUERTO VILLARROEL,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
PUNA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,16,16
QUIABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
QUILLACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,69,69
QUIME,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
QUIRUSILLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
RAVELO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
REYES,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,28,28
RIBERALTA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,11,11
RURRENABAQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
SACABA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,84,84
SACABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
SACACA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
SAMAIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,14,14
SAN ANDRES,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,7,7
SAN ANDRES DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
SAN BENITO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
SAN BORJA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,57,57
SAN BUENA VENTURA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,13,13
SAN CARLOS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,49,49
SAN IGNACIO DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,100,100
SAN JAVIER(BNI),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
SAN JULIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,76,76
SAN LORENZO(PND),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
SAN LORENZO(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
SAN LUCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,25,25
SAN MATIAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
SAN MIGUEL DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,7,7
