municipality,group,variable,month,Nº de comunidades que participaron en el CAI de se,TOTAL
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,6,6
AZURDUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
BAURES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
BELEN DE URMIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,3,3
BERMEJO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,17,17
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,9,9
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,16,16
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,6,6
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,9,9
CAQUIAVIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,3,3
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
CARAPARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,17,17
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,20,20
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,9,9
CHAYANTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,35,35
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
COIPASA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,7,7
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,8,8
COMANCHE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,9,9
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,3,3
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,37,37
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,3,3
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,7,7
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,3,3
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,13,13
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,6,6
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,65,65
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,15,15
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,10,10
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,14,14
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,12,12
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,8,8
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,3,3
PADCAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,6,6
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,12,12
POCOATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,8,8
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
POSTRER VALLE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,224,224
PRESTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,12,12
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,25,25
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,6,6
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
PUERTO VILLARROEL,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,6,6
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,14,14
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,7,7
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,11,11
SAN ANTONIO DE ESMORUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,9,9
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
SAN IGNACIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,45,45
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,9,9
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,29,29
SAN MATIAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
SAN MIGUEL DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,32,32
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,18,18
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
SAN RAFAEL,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,16,16
SAN RAMON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,18,18
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,13,13
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,16,16
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,20,20
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,11,11
SOPACHUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
TACOBAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,7,7
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,16,16
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,46,46
TINGUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,17,17
TIQUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,25,25
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,11,11
TOLEDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,3,3
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,15,15
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,6,6
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
VACAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,7,7
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,12,12
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,10,10
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,6,6
YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,23,23
YOTALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,9,9
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,26,26
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
AIQUILE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,13,13
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,31,31
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,11,11
APOLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,10,10
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,9,9
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
ARQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
ATOCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
AUCAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,6,6
AZURDUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,100,100
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,62,62
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,8,8
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
CARACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,19,19
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
CARIPUYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,9,9
CHIMORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,6,6
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,19,19
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,6,6
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,43,43
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,39,39
EL CHORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,10,10
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
HUACARETA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
INQUISIVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,11,11
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,58,58
LAS CARRERAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,8,8
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,22,22
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,9,9
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
ORURO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
PADILLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
POROMA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,44,44
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,8,8
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
POSTRER VALLE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,12,12
PRESTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,24,24
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,14,14
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,21,21
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,10,10
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,40,40
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,9,9
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,17,17
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,16,16
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,7,7
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,6,6
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
SAN JUAN DE YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,41,41
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,16,16
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,13,13
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,11,11
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,9,9
SANTIVAÑES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,6,6
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,8,8
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,14,14
SOPACHUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
SORACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,19,19
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,6,6
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
TINGUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,11,11
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,63,63
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,9,9
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,13,13
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,3,3
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,1,1
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,10,10
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,13,13
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,21,21
VILLAZON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,2,2
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,10,10
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,10,10
YAMPARAEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,18,18
YOTALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,18,18
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,14,14
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-11-01,5,5
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,9,9
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
AIQUILE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,7,7
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,33,33
ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,21,21
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,11,11
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,5,5
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
ARQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,9,9
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,5,5
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,14,14
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,6,6
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,34,34
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,9,9
CARANGAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,8,8
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
CHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
CHIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
CHOQUE COTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,8,8
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,25,25
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,7,7
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,6,6
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,26,26
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,19,19
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
CURAHUARA DE CARANGAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,48,48
EL CHORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
EL PUENTE(STC),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,12,12
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,8,8
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,8,8
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
FILADELFIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,9,9
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
HUANUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,8,8
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,35,35
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,6,6
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
