municipality,group,variable,month,Total 13.8 Días camas ocupadas otros servicios,TOTAL
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1123,1123
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,56,56
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,39,39
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,8,8
HUACHACALLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2,2
HUANUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,539,539
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,47,47
HUARINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,10,10
HUMANATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2,2
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,18,18
INCAHUASI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,20,20
INGAVI (HUMAITA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,58,58
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,16,16
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,19,19
LA ASUNTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,117,117
LA GUARDIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,153,153
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,51181,51181
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,10,10
LLALLAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,433,433
MACHARETI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,192,192
MAIRANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,119,119
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,13,13
MINEROS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,30,30
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,52,52
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,21,21
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,571,571
MONTERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2142,2142
MORO MORO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,36,36
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
OCURI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,3,3
OKINAWA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,93,93
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,17,17
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,7942,7942
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,369,369
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,109,109
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,28,28
PAMPA AULLAGAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
PAMPA GRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,7,7
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,13,13
PATACAMAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,20,20
POCOATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,5,5
POJO (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,9,9
PORONGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,6,6
PORTACHUELO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,432,432
PORVENIR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,14,14
POSTRER VALLE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,9,9
POTOSI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,7017,7017
PRESTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,53,53
PUCARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,4,4
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,20,20
PUERTO QUIJARRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,114,114
PUERTO RICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,38,38
PUERTO SUAREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,290,290
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,646,646
PUNA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,11,11
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,741,741
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,295,295
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,7,7
QUIRUSILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,6,6
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,44,44
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2106,2106
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,174,174
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,414,414
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,836,836
SACABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,13,13
SACACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,6,6
SAIPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,3,3
SAMAIPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,21,21
SAN ANDRES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,26,26
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,22,22
SAN BENITO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,12,12
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,267,267
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,11,11
SAN CARLOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,379,379
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,142,142
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,775,775
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,58,58
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,117,117
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,284,284
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,389,389
SAN LORENZO(PND),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2,2
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,134,134
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,125,125
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,37,37
SAN PEDRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,753,753
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,25,25
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,45,45
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,47,47
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,77,77
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,281,281
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,42436,42436
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,52,52
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,16,16
SANTIAGO DE HUARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,77,77
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,300,300
SIPE SIPE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,6,6
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,51,51
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,10,10
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,25366,25366
TACACOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,12,12
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
TAPACARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,89,89
TARATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,3,3
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,10716,10716
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,125,125
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,33,33
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,225,225
TIRAQUE (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,17,17
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2,2
TOLEDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,14,14
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,45,45
TOTORA(ORR),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,3,3
TRIGAL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,11,11
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,3518,3518
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,686,686
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,10,10
URUBICHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,10,10
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,262,262
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,325,325
VIACHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,476,476
VILLA CHARCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2,2
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,743,743
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,9,9
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,29,29
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,962,962
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,18,18
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,462,462
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,215,215
WARNES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,554,554
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2066,2066
YAMPARAEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2,2
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,666,666
YOTALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,38,38
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,91,91
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,190,190
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,189,189
ANZALDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,86,86
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,41,41
ARAMPAMPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,2,2
ARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,410,410
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,327,327
AYATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,76,76
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,151,151
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,50,50
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,930,930
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,27,27
BOLIVAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,30,30
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,73,73
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,48,48
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,83,83
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,11,11
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,123,123
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,1316,1316
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,32,32
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,17,17
