municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,3,3
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,4,4
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,2,2
TARIJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
VACAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,30,30
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,2,2
COIPASA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,3,3
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,4,4
PELECHUCO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
POCONA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,3,3
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,2,2
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
SHINAOTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
