,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS PRIMERA,NIÑOS DE 1 A 4 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
SAN CARLOS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,79,86,23,28,9,10,165,51,216
SAN IGNACIO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,263,202,17,7,26,27,465,24,489
SAN IGNACIO DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,504,427,26,20,0,0,931,46,977
SAN JAVIER(BNI),consulta externa,ninos  de 1 a 4 anos,2024-07-01,30,27,3,1,4,11,57,4,61
SAN JAVIER(STC),consulta externa,ninos  de 1 a 4 anos,2024-07-01,52,62,0,0,0,0,114,0,114
SAN JOAQUIN,consulta externa,ninos  de 1 a 4 anos,2024-07-01,57,53,2,0,0,0,110,2,112
SAN JOSE DE CHIQUITOS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,49,62,11,5,1,0,111,16,127
SAN JUAN DE YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,80,58,1,0,0,0,138,1,139
SAN JULIAN,consulta externa,ninos  de 1 a 4 anos,2024-07-01,568,572,66,73,15,13,1140,139,1279
SAN LORENZO(PND),consulta externa,ninos  de 1 a 4 anos,2024-07-01,122,104,3,0,0,0,226,3,229
SAN LORENZO(TJA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,277,302,16,8,0,0,579,24,603
SAN LUCAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,337,309,20,17,36,34,646,37,683
SAN MATIAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,108,120,13,13,3,4,228,26,254
SAN MIGUEL DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,113,106,2,3,0,0,219,5,224
SAN PABLO DE LIPEZ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,30,26,0,0,3,2,56,0,56
SAN PEDRO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,213,197,21,23,0,0,410,44,454
SAN PEDRO DE BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,202,204,3,7,0,0,406,10,416
SAN PEDRO DE CURAHUARA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,25,30,1,6,0,0,55,7,62
SAN PEDRO DE MACHA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,145,144,0,0,0,0,289,0,289
SAN PEDRO DE QUEMES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,5,5,0,0,0,0,10,0,10
SAN PEDRO DE TIQUINA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,41,40,20,17,0,0,81,37,118
SAN PEDRO(PND),consulta externa,ninos  de 1 a 4 anos,2024-07-01,36,39,0,0,0,0,75,0,75
SAN RAFAEL,consulta externa,ninos  de 1 a 4 anos,2024-07-01,90,93,59,40,0,0,183,99,282
SAN RAMON BENI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,45,50,2,4,0,0,95,6,101
SAN RAMON SCZ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,63,75,4,4,0,0,138,8,146
SANTA ANA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,131,120,51,56,0,0,251,107,358
SANTA CRUZ DE LA SIERRA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,9015,7856,3590,2738,692,567,16871,6328,23199
SANTA ROSA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,106,90,1,0,2,4,196,1,197
SANTA ROSA DEL SARA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,180,155,9,6,21,18,335,15,350
SANTIAGO DE CALLAPA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,22,29,3,8,0,0,51,11,62
SANTIAGO DE HUARI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,59,42,9,10,1,0,101,19,120
SANTIAGO DE HUATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,23,18,6,3,0,0,41,9,50
SANTIAGO DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,25,20,2,6,0,0,45,8,53
SANTIVAÑES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,69,90,5,9,0,0,159,14,173
SANTUARIO DE QUILLACAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,16,20,1,0,20,20,36,1,37
SAPAHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,65,51,24,19,2,6,116,43,159
SENA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,92,118,1,1,0,0,210,2,212
SHINAOTA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,352,386,35,22,73,54,738,57,795
SICA SICA (VILLA AROMA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,97,107,8,6,0,0,204,14,218
SICAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,34,29,18,14,0,0,63,32,95
SIPE SIPE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,614,601,229,220,0,0,1215,449,1664
SOPACHUY,consulta externa,ninos  de 1 a 4 anos,2024-07-01,90,132,18,18,0,0,222,36,258
SORACACHI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,73,64,1,2,0,1,137,3,140
SORATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,156,126,33,23,0,0,282,56,338
SUCRE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,2771,2503,652,436,46,43,5274,1088,6362
TACACHI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,9,16,0,3,0,0,25,3,28
TACACOMA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,86,81,11,8,0,0,167,19,186
TACOBAMBA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,60,56,0,0,0,0,116,0,116
TACOPAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,68,64,0,0,0,0,132,0,132
TAHUA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,18,3,0,0,0,0,21,0,21
TAPACARI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,222,188,11,22,0,0,410,33,443
TARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,172,197,1,3,0,0,369,4,373
TARACO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,28,40,5,8,0,0,68,13,81
TARATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,96,83,11,6,0,0,179,17,196
TARIJA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1824,1950,612,606,200,225,3774,1218,4992
TARVITA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,234,212,7,10,2,2,446,17,463
TEOPONTE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,94,65,18,10,0,0,159,28,187
TIAHUANACU,consulta externa,ninos  de 1 a 4 anos,2024-07-01,64,67,36,25,0,0,131,61,192
TINGUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,130,144,1,0,10,13,274,1,275
TIPUANI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,86,94,24,22,0,0,180,46,226
TIQUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,797,736,114,122,0,0,1533,236,1769
TIRAQUE (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,133,103,80,48,13,7,236,128,364
TITO YUPANQUI (PARQUIPUJIO),consulta externa,ninos  de 1 a 4 anos,2024-07-01,5,8,1,0,0,0,13,1,14
TOCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,44,53,13,8,0,1,97,21,118
TODOS SANTOS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1,4,0,0,0,0,5,0,5
TOLATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,42,40,27,48,0,0,82,75,157
TOLEDO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,25,27,4,6,1,0,52,10,62
TOMAVE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,79,65,1,5,0,0,144,6,150
TOMINA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,128,139,5,2,0,0,267,7,274
TORO TORO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,115,88,2,2,0,0,203,4,207
TOTORA(CBBA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,157,150,15,14,5,4,307,29,336
TOTORA(ORR),consulta externa,ninos  de 1 a 4 anos,2024-07-01,20,22,1,1,1,1,42,2,44
TRIGAL,consulta externa,ninos  de 1 a 4 anos,2024-07-01,19,13,2,0,0,0,32,2,34
TRINIDAD,consulta externa,ninos  de 1 a 4 anos,2024-07-01,674,522,114,76,114,82,1196,190,1386
TUPIZA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,404,383,53,61,14,15,787,114,901
TURCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,20,18,3,0,0,0,38,3,41
UMALA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,46,37,24,6,0,0,83,30,113
UNCIA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,208,202,13,6,0,0,410,19,429
URIONDO (A. CONCEPCION),consulta externa,ninos  de 1 a 4 anos,2024-07-01,227,245,25,22,94,96,472,47,519
URUBICHA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,60,56,0,3,1,0,116,3,119
UYUNI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,228,189,36,25,10,12,417,61,478
VACAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,72,85,3,4,0,0,157,7,164
VALLEGRANDE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,66,73,112,112,11,6,139,224,363
VIACHA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,599,483,162,139,15,10,1082,301,1383
VILA VILA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,62,46,0,0,4,2,108,0,108
VILLA CHARCAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,133,138,4,0,6,4,271,4,275
VILLA MONTES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,419,431,45,31,8,7,850,76,926
VILLA NUEVA (LOMA ALTA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,32,35,12,7,0,0,67,19,86
VILLA RIVERO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,91,83,30,33,0,0,174,63,237
VILLA SERRANO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,114,129,49,49,0,0,243,98,341
VILLA TUNARI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1579,1471,168,155,13,13,3050,323,3373
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,96,93,16,14,0,0,189,30,219
VILLAZON,consulta externa,ninos  de 1 a 4 anos,2024-07-01,296,253,25,16,59,48,549,41,590
VINTO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,732,725,180,150,0,0,1457,330,1787
VITICHI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,64,60,1,0,4,2,124,1,125
WALDO BALLIVIAN,consulta externa,ninos  de 1 a 4 anos,2024-07-01,4,6,23,16,0,0,10,39,49
WARNES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1120,1083,99,110,0,0,2203,209,2412
YACO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,72,70,18,11,0,0,142,29,171
YACUIBA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,907,941,120,123,135,143,1848,243,2091
YAMPARAEZ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,100,104,15,7,0,0,204,22,226
YANACACHI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,62,43,2,6,0,0,105,8,113
YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,539,473,58,46,7,3,1012,104,1116
YOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,30,37,0,0,9,15,67,0,67
YOTALA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,116,100,30,33,26,18,216,63,279
YUNCHARA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,68,80,7,8,0,0,148,15,163
YUNGUYO DE LITORAL,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1,5,0,0,0,0,6,0,6
ZUDAÑEZ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,80,79,18,26,0,0,159,44,203
ACACIO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,25,39,2,0,0,0,64,2,66
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,222,201,61,78,3,2,423,139,562
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,176,140,91,82,0,0,316,173,489
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2024-08-01,179,170,139,132,44,39,349,271,620
ALALAY,consulta externa,ninos  de 1 a 4 anos,2024-08-01,15,13,12,8,1,3,28,20,48
ALCALA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,58,54,6,0,2,0,112,6,118
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,188,163,6,4,0,0,351,10,361
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2024-08-01,36,33,19,13,8,5,69,32,101
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,17,15,1,0,0,0,32,1,33
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,17,19,7,4,0,0,36,11,47
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,37,34,8,7,6,13,71,15,86
APOLO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,213,186,85,64,4,3,399,149,548
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,30,23,2,0,3,2,53,2,55
ARANI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,64,73,4,13,0,0,137,17,154
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,350,368,44,38,0,0,718,82,800
ARQUE,consulta externa,ninos  de 1 a 4 anos,2024-08-01,135,121,2,2,0,0,256,4,260
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,244,199,9,7,157,112,443,16,459
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,149,188,16,12,4,4,337,28,365
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,35,54,8,6,11,6,89,14,103
AYATA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,82,71,2,2,8,8,153,4,157
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,35,44,15,16,31,24,79,31,110
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2024-08-01,249,237,12,12,9,4,486,24,510
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2024-08-01,224,204,56,65,0,0,428,121,549
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,56,44,43,33,0,0,100,76,176
BAURES,consulta externa,ninos  de 1 a 4 anos,2024-08-01,87,51,3,1,1,0,138,4,142
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,11,6,0,0,0,0,17,0,17
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,8,5,2,1,0,0,13,3,16
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2024-08-01,64,62,13,14,0,0,126,27,153
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,647,586,66,78,83,76,1233,144,1377
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,237,246,8,11,0,0,483,19,502
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2024-08-01,39,40,7,7,0,0,79,14,93
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,19,12,2,1,0,0,31,3,34
BOYUIBE,consulta externa,ninos  de 1 a 4 anos,2024-08-01,59,44,6,4,0,0,103,10,113
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,117,104,10,3,1,1,221,13,234
CABEZAS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,190,235,13,16,8,9,425,29,454
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,145,109,6,2,5,3,254,8,262
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2024-08-01,104,101,4,5,0,0,205,9,214
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,119,116,11,12,6,0,235,23,258
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,36,41,2,2,0,0,77,4,81
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,104,84,2,2,0,0,188,4,192
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,157,145,48,28,0,0,302,76,378
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2024-08-01,55,24,6,3,0,0,79,9,88
CAMIRI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,190,182,22,15,0,0,372,37,409
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,257,257,30,25,0,0,514,55,569
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,86,63,14,8,0,0,149,22,171
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,251,221,11,31,22,18,472,42,514
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,614,537,127,78,12,10,1151,205,1356
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,5,1,0,0,0,0,6,0,6
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,175,170,17,16,4,11,345,33,378
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,55,49,0,0,0,0,104,0,104
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2024-08-01,54,55,2,2,5,5,109,4,113
CATACORA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,22,21,3,3,0,0,43,6,49
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,25,15,0,0,0,0,40,0,40
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,176,151,22,17,29,21,327,39,366
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,63,83,0,0,0,0,146,0,146
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,427,390,84,82,0,0,817,166,983
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,23,30,1,6,0,0,53,7,60
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,145,140,5,10,20,14,285,15,300
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2024-08-01,473,436,45,42,36,54,909,87,996
CHIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,5,7,0,1,0,0,12,1,13
CHOQUE COTA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,14,4,1,0,0,0,18,1,19
CHUA COCANI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,5,6,16,22,0,0,11,38,49
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos  de 1 a 4 anos,2024-08-01,180,163,16,16,8,9,343,32,375
CHUMA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,87,96,11,4,7,8,183,15,198
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,78,64,0,1,0,0,142,1,143
CKOCHAS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,132,143,8,15,5,2,275,23,298
CLIZA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,156,157,76,80,0,0,313,156,469
COBIJA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,530,536,218,238,3,0,1066,456,1522
COCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,390,388,2,2,0,0,778,4,782
COCHABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,5540,4861,1922,1649,109,97,10401,3571,13972
COIPASA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,6,3,2,2,0,0,9,4,13
COLCAPIRHUA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,360,296,116,113,0,0,656,229,885
"COLCHA ""K""",consulta externa,ninos  de 1 a 4 anos,2024-08-01,189,152,16,9,3,3,341,25,366
COLLANA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,25,11,10,4,0,0,36,14,50
COLOMI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,167,162,6,4,23,12,329,10,339
COLPA BELGICA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,69,67,9,22,2,3,136,31,167
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,147,136,0,2,0,0,283,2,285
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,119,115,32,41,0,0,234,73,307
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,132,118,20,19,9,5,250,39,289
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2024-08-01,14,12,0,0,4,5,26,0,26
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,166,170,23,23,2,8,336,46,382
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,18,10,1,2,0,0,28,3,31
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2024-08-01,133,121,22,18,0,0,254,40,294
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,54,32,2,6,0,0,86,8,94
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,205,154,32,23,0,2,359,55,414
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,72,69,11,11,0,0,141,22,163
COROICO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,204,181,31,32,13,11,385,63,448
CORQUE,consulta externa,ninos  de 1 a 4 anos,2024-08-01,52,60,3,4,2,3,112,7,119
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,261,241,19,23,4,6,502,42,544
COTOCA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,657,515,43,44,51,47,1172,87,1259
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,213,195,32,18,4,5,408,50,458
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2024-08-01,28,36,2,1,0,0,64,3,67
CUEVO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,57,38,22,21,0,0,95,43,138
CULPINA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,128,115,16,5,6,16,243,21,264
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,27,16,3,1,4,2,43,4,47
CURVA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,43,36,2,1,3,3,79,3,82
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,28,19,6,6,4,3,47,12,59
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,5426,5042,2106,1913,458,337,10468,4019,14487
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,26,34,0,0,1,0,60,0,60
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2024-08-01,138,98,2,3,0,1,236,5,241
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2024-08-01,99,142,8,10,17,28,241,18,259
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,729,616,287,344,0,0,1345,631,1976
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2024-08-01,95,66,1,0,0,0,161,1,162
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2024-08-01,294,243,22,21,0,0,537,43,580
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,527,461,44,27,0,0,988,71,1059
ESCARA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,5,3,0,0,0,0,8,0,8
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,60,66,0,2,0,0,126,2,128
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,2,2,0,0,0,1,4,0,4
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,24,19,2,0,3,2,43,2,45
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2024-08-01,20,20,0,0,0,0,40,0,40
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2024-08-01,34,53,2,2,9,22,87,4,91
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2024-08-01,206,185,37,26,2,2,391,63,454
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,121,104,2,5,0,0,225,7,232
GAIOC JATUN AYLLU YURA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,44,56,0,1,0,0,100,1,101
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,204,198,30,22,0,0,402,52,454
GIA-TIM,consulta externa,ninos  de 1 a 4 anos,2024-08-01,14,23,3,4,0,0,37,7,44
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2024-08-01,138,85,13,15,1,0,223,28,251
GUANAY,consulta externa,ninos  de 1 a 4 anos,2024-08-01,83,107,108,94,0,0,190,202,392
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,38,32,7,10,7,5,70,17,87
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2024-08-01,359,362,48,33,40,24,721,81,802
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2024-08-01,161,166,15,14,0,0,327,29,356
HUACARAJE,consulta externa,ninos  de 1 a 4 anos,2024-08-01,16,26,13,9,3,2,42,22,64
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,78,59,28,25,1,0,137,53,190
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2024-08-01,38,39,6,5,0,0,77,11,88
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,6,6,6,6,0,1,12,12,24
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,130,129,74,25,0,1,259,99,358
HUARINA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,29,20,30,25,0,0,49,55,104
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,12,7,9,13,0,0,19,22,41
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,36,23,11,15,0,0,59,26,85
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,6,10,7,15,0,0,16,22,38
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,56,57,5,6,5,10,113,11,124
ICLA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,102,106,29,26,0,0,208,55,263
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,161,193,7,9,21,19,354,16,370
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2024-08-01,18,13,2,3,0,0,31,5,36
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2024-08-01,127,92,0,5,4,2,219,5,224
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2024-08-01,185,183,97,83,0,0,368,180,548
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2024-08-01,148,172,50,60,15,11,320,110,430
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,72,60,39,28,0,1,132,67,199
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,480,452,61,60,143,118,932,121,1053
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2024-08-01,903,848,428,399,15,11,1751,827,2578
