municipality,group,variable,month,Total Días camas disponibles otros servicios,TOTAL
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,364,364
IXIAMAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
JESUS DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,364,364
LA GUARDIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,2156,2156
LA PAZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,62986,62986
LAGUNILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,336,336
LAS CARRERAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,166,166
LLALLAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,980,980
LLICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
LURIBAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
MACHACAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
MACHARETI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,420,420
MAGDALENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,252,252
MAIRANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
MAPIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,112,112
MIZQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,885,885
MOJINETE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
MOJOCOYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,295,295
MONTEAGUDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1400,1400
MONTERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,3720,3720
MORO MORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,88,88
MOROCHATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,252,252
OCURI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,336,336
OKINAWA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,299,299
OMEREQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
ORURO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,9303,9303
PADILLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,364,364
PAILON,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,385,385
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,280,280
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
PASORAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
PATACAMAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,180,180
PAZÑA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
POCOATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,112,112
POCONA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,252,252
POJO (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,224,224
POOPO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
POROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,616,616
PORONGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,280,280
PORTACHUELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,952,952
PORVENIR,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,133,133
POSTRER VALLE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
POTOSI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,11004,11004
PRESTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,165,165
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,332,332
PUERTO RICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,232,232
PUERTO SUAREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,960,960
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1456,1456
PUNA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
PUNATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1428,1428
QUILLACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,986,986
QUIME,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,162,162
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
RAVELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
REYES,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
RIBERALTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,2470,2470
ROBORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1539,1539
RURRENABAQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,588,588
SABAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
SACABA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1624,1624
SACABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,196,196
SACACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,280,280
SAIPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,210,210
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
SAMAIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
SAN ANDRES DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,91,91
SAN BENITO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
SAN BORJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,528,528
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,196,196
SAN CARLOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1064,1064
SAN IGNACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,678,678
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,2240,2240
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,280,280
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,112,112
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,922,922
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,782,782
SAN JULIAN,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1016,1016
SAN LUCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,622,622
SAN MATIAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,532,532
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,196,196
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
SAN RAFAEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,224,224
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,196,196
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,840,840
SANTA ANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,364,364
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,47152,47152
SANTA ROSA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
SANTIVAÑES,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
SENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,172,172
SHINAOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,588,588
SICAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
SOPACHUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,896,896
SUCRE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,32570,32570
TACOPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,138,138
TAPACARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
TARABUCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,532,532
TARATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,52,52
TARIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,12379,12379
TARVITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,432,432
TIAWANACU,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
TIPUANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
TIQUIPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,672,672
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
TOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
TOLATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,46,46
TOMINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,476,476
TORO TORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,196,196
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,616,616
TRIGAL,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
TRINIDAD,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,5057,5057
TUPIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,840,840
UNCIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
URUBICHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
UYUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,636,636
VACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,112,112
VALLEGRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,616,616
VILA VILA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
VILLA MONTES,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1008,1008
VILLA RIVERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,112,112
VILLA SERRANO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,252,252
VILLA TUNARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,2064,2064
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,196,196
VILLAZON,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1120,1120
VINTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,700,700
VITICHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
WARNES,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,682,682
YACUIBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,2268,2268
YAMPARAEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,224,224
YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1388,1388
YOTALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,196,196
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
