municipality,group,variable,month,Controles nuevos en niños de 2 años a < de 5 a NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
TRIGAL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,1,2
TRINIDAD,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,321,321,316,637
TUPIZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,3,3,5,8
TURCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,6,6,1,7
UMALA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,1,2
UNCIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,21,21,25,46
URIONDO (A. CONCEPCION),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,14,21
VACAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,16,16,22,38
VALLEGRANDE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,4,4,4,8
VIACHA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,8,8,8,16
VILA VILA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,2,4
VILLA MONTES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,45,45,83,128
VILLA NUEVA (LOMA ALTA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,3,3,3,6
VILLA RIVERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,6,6,5,11
VILLA SERRANO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,245,245,221,466
VILLA TUNARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,108,108,128,236
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,164,164,176,340
VILLAZON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,3,3,2,5
VINTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,18,18,14,32
WARNES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,130,130,132,262
YACO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,5,5,6,11
YACUIBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,5,5,5,10
YAMPARAEZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,258,258,235,493
YANACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,2,3
YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,2,4
YOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,1,1
YOTALA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,85,85,118,203
YUNCHARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,6,13
ZUDAÑEZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,133,133,156,289
ACACIO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,20,20,23,43
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,65,65,66,131
ACHOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,0,0,1,1
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,11,11,17,28
ALALAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,1,2
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,10,10,6,16
ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,0,1
ANTEQUERA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,0,1
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,32,32,28,60
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,12,12,5,17
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,3,4
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,18,18,21,39
ARBIETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,8,8,16,24
ARQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,14,14,12,26
ASCENCION DE GUARAYOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,352,352,351,703
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,39,39,28,67
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,4,4,2,6
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,3,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,44,44,21,65
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,112,112,88,200
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,9,9,7,16
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,2,3
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,28,28,43,71
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,1,2
BOLIVAR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,2,3
BOLPEBRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,1,2
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,0,0,1,1
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,2,4
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,17,17,14,31
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,4,4,4,8
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,24,24,19,43
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,44,44,44,88
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,0,0,1,1
CALAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,8,8,3,11
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,91,91,80,171
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,22,22,18,40
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,51,51,46,97
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,11,11,2,13
CAQUIAVIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,16,16,15,31
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,5,5,4,9
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,14,14,16,30
CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,0,2
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,3,4
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,3,3,2,5
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,3,3,5,8
CATACORA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,3,5
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,3,3,4,7
CHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,0,0,1,1
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,5,6
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,2,3
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,13,13,18,31
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,6,6,11,17
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,8,8,10,18
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,27,27,23,50
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,8,8,10,18
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,802,802,757,1559
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,165,165,170,335
COLLANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,0,0,1,1
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,90,90,82,172
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,2,4
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,1,3
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,47,47,48,95
COMANCHE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,1,3
CONCEPCION,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,3,5
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,25,25,27,52
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,3,5
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,0,0,1,1
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,36,36,24,60
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,3,4
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,52,52,35,87
COTOCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,2,3
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,51,51,31,82
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,68,68,65,133
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1451,1451,1535,2986
EL CHORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,0,1
EL PUENTE(STC),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,128,128,106,234
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,0,1
EL TORNO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,32,32,25,57
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,132,132,124,256
ESCARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,0,1
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,0,1
EXALTACION,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,3,4
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,4,4,8,12
FILADELFIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,7,7,7,14
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,23,23,14,37
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,9,9,10,19
GUANAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,15,15,9,24
GUAYARAMERIN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,8,8,6,14
GUTIERREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,23,23,19,42
HUACARETA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,62,62,65,127
HUACHACALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,1,2
HUANUNI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,30,30,35,65
HUAYLLAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,14,14,11,25
ICHOCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,5,5,3,8
ICLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,28,28,30,58
INCAHUASI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,119,119,132,251
INQUISIVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,83,83,81,164
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,8,8,8,16
IXIAMAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,11,11,8,19
JESUS DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,0,2
LA ASUNTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,9,9,9,18
LA GUARDIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,42,42,37,79
LA PAZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,927,927,858,1785
LAGUNILLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,2,4
LAJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,5,6
LAS CARRERAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,16,16,13,29
LICOMA PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,5,5,1,6
LLALLAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,5,5,4,9
LORETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,32,32,25,57
LURIBAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,6,8
MACHARETI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,36,36,42,78
MAIRANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,0,1
MAPIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,2,2,2,4
MECAPACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,11,11,7,18
MINEROS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,20,20,15,35
MIZQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,58,58,47,105
MOCOMOCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,6,6,8,14
MOJOCOYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,13,13,15,28
MONTEAGUDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,222,222,187,409
MONTERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,46,46,35,81
MORO MORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,3,3,0,3
MOROCHATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,92,92,94,186
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,7,7,2,9
OKINAWA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,55,55,53,108
OMEREQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,21,21,14,35
ORURO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,398,398,395,793
PADCAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,59,59,58,117
PADILLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,54,54,48,102
PAILON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,8,8,4,12
PALCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,16,16,17,33
PALOS BLANCOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,19,19,12,31
PAPEL PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,0,0,1,1
PASORAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,1,2
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,5,5,2,7
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,0,1
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,0,0,1,1
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,3,4
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,19,19,22,41
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,18,18,22,40
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,20,20,14,34
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,3,3,0,3
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,95,95,96,191
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,19,19,16,35
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,53,53,55,108
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,0,0,2,2
POSTRER VALLE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,3,3,1,4
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,89,89,83,172
PRESTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,14,14,7,21
PUCARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,1,1,0,1
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,35,35,41,76
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-02-01,12,12,20,32
