municipality,group,variable,month,10. Días camas disponibles otros servicios,TOTAL
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,464,464
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,696,696
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,232,232
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,132,132
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,150,150
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
GUAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1653,1653
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,319,319
HUACARAJE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,693,693
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,261,261
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1624,1624
HUARINA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,145,145
HUATAJATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,493,493
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,435,435
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,174,174
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,258,258
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,2438,2438
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,80361,80361
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,2,2
LAJA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,348,348
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1015,1015
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
LORETO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,26,26
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,120,120
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,378,378
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,248,248
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,145,145
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,579,579
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,812,812
MOCOMOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,90,90
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,290,290
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,2204,2204
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,9653,9653
MOROCHATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1247,1247
OKINAWA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,372,372
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,145,145
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,25437,25437
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,551,551
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,191,191
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,88,88
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,290,290
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,60,60
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,102,102
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,667,667
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,319,319
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,290,290
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,3,3
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,958,958
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,390,390
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,2378,2378
PORVENIR,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,120,120
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,17580,17580
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,493,493
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,420,420
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,30,30
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,104,104
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,913,913
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,302,302
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,3886,3886
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,522,522
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,3016,3016
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,3537,3537
QUIME,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
QUIRUSILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,2,2
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,174,174
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,667,667
REYES,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,174,174
RIBERALTA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,3538,3538
ROBORE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1312,1312
RURRENABAQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,580,580
SABAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
SACABA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,4586,4586
SACABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,47,47
SACACA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,329,329
SAIPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,266,266
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,319,319
SAMAIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
SAN ANDRES,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,6,6
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,71,71
SAN BORJA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,775,775
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,986,986
SAN CARLOS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1,1
SAN IGNACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,611,611
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,2496,2496
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,319,319
SAN JOAQUIN,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,232,232
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1055,1055
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,39,39
SAN JULIAN,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,2397,2397
SAN LUCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1102,1102
SAN MATIAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,609,609
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,290,290
SAN PEDRO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,290,290
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,406,406
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
SAN RAFAEL,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,174,174
SAN RAMON BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,332,332
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,290,290
SANTA ANA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,590,590
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,75373,75373
SANTA ROSA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,377,377
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,315,315
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
SANTIVAÑES,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,261,261
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,261,261
SHINAOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,978,978
SOPACHUY,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,377,377
SORATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,224,224
SUCRE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,36708,36708
TACACOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1,1
TACOBAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
TACOPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,39,39
TAPACARI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
TARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,638,638
TARATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
TARIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,15964,15964
TARVITA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,812,812
TIPUANI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
TIQUIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1067,1067
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
TOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,174,174
TOLATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
TOMINA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,551,551
TORO TORO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,287,287
TOTORA(CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,841,841
TOTORA(ORR),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,145,145
TRINIDAD,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,6266,6266
TUPIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,2887,2887
UNCIA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
UYUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1284,1284
VACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
VALLEGRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,953,953
VIACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1363,1363
VILA VILA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,203,203
VILLA CHARCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,376,376
VILLA MONTES,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1186,1186
VILLA RIVERO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,118,118
VILLA SERRANO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,348,348
VILLA TUNARI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,3925,3925
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,145,145
VILLAZON,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1723,1723
VINTO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1508,1508
